Kota,tahun,luas,kepadatan_penduduk
D.I. Yogyakarta,2007,3186,1054
Kulonprogo,2007,586,656
Bantul,2007,507,1722
Gunungkidul,2007,1485,455
Sleman,2007,575,1801
Kota Yogyakarta,2007,32,12056
D.I. Yogyakarta,2008,3186,1065
Kulonprogo,2008,586,658
Bantul,2008,507,1748
Gunungkidul,2008,1485,455
Sleman,2008,575,1835
Kota Yogyakarta,2008,32,12024
D.I. Yogyakarta,2009,3186,1076
Kulonprogo,2009,586,661
Bantul,2009,507,1774
Gunungkidul,2009,1485,455
Sleman,2009,575,1870
Kota Yogyakarta,2009,32,11990
D.I. Yogyakarta,2010,3186,1085
Kulonprogo,2010,586,663
Bantul,2010,507,1798
Gunungkidul,2010,1485,455
Sleman,2010,575,1902
Kota Yogyakarta,2010,32,11958
D.I. Yogyakarta,2011,3186,1095
Kulonprogo,2011,586,666
Bantul,2011,507,1818
Gunungkidul,2011,1485,456
Sleman,2011,575,1926,
Kota Yogyakarta,2011,32,12017
D.I. Yogyakarta,2012,3186,1103
Kulonprogo,2012,586,670
Bantul,2012,507,1831
Gunungkidul,2012,1485,461
Sleman,2012,575,1939
Kota Yogyakarta,2012,32,12123
D.I. Yogyakarta,2013,3186,1128,
Kulonprogo,2013,586,685
Bantul,2013,507,1884
Gunungkidul,2013,1485,467
Sleman,2013,575,1995
Kota Yogyakarta,2013,32,12241
D.I. Yogyakarta,2014,3186,1142
Kulonprogo,2014,586,691
Bantul,2014,507,1911
Gunungkidul,2014,1485,470
Sleman,2014,575,2025
Kota Yogyakarta,2014,32,12322
D.I. Yogyakarta,2015,3186,1155
Kulonprogo,2015,586,703
Bantul,2015,507,1917
Gunungkidul,2015,1485,482
Sleman,2015,575,2031
Kota Yogyakarta,2015,32,12699
